Date,Groupe,Passage,Clarté de la définition,Pertinence de l’exemple choisi, Lisibilité du pseudo code,Qualité du support,Qualité du discours oral,Motivation de la stratégie,Remarque libre
02/02/2021 14:21:15,9,1,6,6,6,6,6,6,
02/02/2021 14:21:18,9,1,3,3,3,3,3,3,
02/02/2021 14:21:21,9,1,3,3,3,3,3,3,
02/02/2021 14:21:52,9,1,6,6,5,6,6,6,
02/02/2021 14:21:54,9,1,4,5,5,4,3,3,
02/02/2021 14:21:57,9,1,4,3,2,5,5,4,
02/02/2021 14:22:03,9,1,3,3,3,4,3,3,
02/02/2021 14:22:05,9,1,6,6,6,6,6,6,
02/02/2021 14:22:11,9,1,6,6,6,6,6,6,
02/02/2021 14:22:08,9,1,4,5,4,5,4,5,
02/02/2021 14:22:13,9,1,6,6,6,6,6,6,
02/02/2021 14:22:20,9,1,6,6,6,6,6,6,Belle présentation
02/02/2021 14:22:30,9,1,5,4,4,4,4,4,
02/02/2021 14:22:35,9,1,4,6,3,6,5,5,
02/02/2021 14:22:37,9,1,6,5,5,5,5,6,
02/02/2021 14:22:40,9,1,5,5,5,5,5,5,
02/02/2021 14:22:40,9,1,5,5,5,5,5,5,
02/02/2021 14:22:52,9,1,5,6,5,5,5,4,
02/02/2021 14:22:59,9,1,6,5,4,5,6,4,
02/02/2021 14:23:07,9,1,5,6,5,6,5,5,
02/02/2021 14:23:11,9,1,5,5,5,4,4,4,
02/02/2021 14:23:22,9,1,5,5,6,6,6,5,
02/02/2021 14:23:30,9,1,5,5,4,5,6,4,
02/02/2021 14:23:33,9,1,5,4,5,6,5,6,
02/02/2021 14:25:19,9,1,4,5,4,6,6,5,
02/02/2021 14:25:37,9,1,4,3,2,3,3,4,
02/02/2021 14:27:51,9,1,6,6,6,6,6,6,
02/02/2021 14:34:42,9,1,5,5,6,6,6,6,
02/02/2021 14:56:40,9,1,4,3,5,2,6,1,
02/02/2021 15:03:50,9,1,6,6,6,6,6,6,
02/02/2021 14:30:43,1,2,5,5,6,4,6,5,
02/02/2021 14:30:59,1,2,6,6,6,6,6,5,
02/02/2021 14:31:13,1,2,3,2,3,4,3,2,
02/02/2021 14:31:18,1,2,5,5,5,5,5,5,
02/02/2021 14:31:27,1,2,4,5,4,5,4,5,
02/02/2021 14:31:33,1,2,3,3,3,4,2,4,
02/02/2021 14:31:33,1,2,5,5,5,5,5,5,
02/02/2021 14:31:38,1,2,3,3,3,3,3,3,
02/02/2021 14:31:41,1,2,5,6,5,5,4,4,
02/02/2021 14:31:43,1,2,6,5,5,6,4,5,
02/02/2021 14:31:48,1,2,6,6,6,6,6,6,
02/02/2021 14:31:50,1,2,4,5,6,5,6,5,
02/02/2021 14:31:58,1,2,5,5,5,5,6,5,
02/02/2021 14:31:59,1,2,6,6,6,6,6,6,GG Léo!! :) (issou)
02/02/2021 14:31:59,1,2,6,6,6,6,5,4,leo bg
02/02/2021 14:32:02,1,2,5,4,3,2,3,4,
